Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
heat wave,Weather,TTS hospitalization,Positive,Cardiovascular Health,Health Outcome,,42179263,Literature,PubMed,,
dew point temperature,Other,total brain volumes,Positive,Neurological Health,Health Outcome,,41458450,Literature,PubMed,,
relative humidity,Other,total brain volumes,Positive,Neurological Health,Health Outcome,,41458450,Literature,PubMed,,
wet bulb temperature,Other,total brain volumes,Null,Neurological Health,Health Outcome,,41458450,Literature,PubMed,,
air quality,Other,total brain volumes,Null,Neurological Health,Health Outcome,,41458450,Literature,PubMed,,
Temperature variability,Weather,Cardiovascular emergency department visits,Positive,Cardiovascular Health,Health Outcome,,38254140,Literature,PubMed,,
Temperature variability,Weather,hypertension,Null,Cardiovascular Health,Health Outcome,,38254140,Literature,PubMed,,
PM2.5,Air Quality,acute kidney failure [AKF],Positive,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
PM2.5,Air Quality,glomerular diseases [GD],Positive,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
PM2.5,Air Quality,volume depletion,Positive,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
NO2,Air Quality,acute kidney failure [AKF],Positive,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
O3,Air Quality,acute kidney failure [AKF],Null,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
O3,Air Quality,urolithiasis,Null,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
O3,Air Quality,glomerular diseases [GD],Null,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
O3,Air Quality,renal tubulo-interstitial diseases,Null,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
O3,Air Quality,chronic kidney disease,Null,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
O3,Air Quality,dysnatremia,Null,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
O3,Air Quality,volume depletion,Null,Renal Health,Health Outcome,,37054868,Literature,PubMed,,
heat index,Weather,term birthweight,Negative,Gestational growth;Fetal growth,Health Outcome,,36279910,Literature,PubMed,,
heat index,Weather,small for gestational age,Positive,Gestational growth;Fetal growth,Health Outcome,,36279910,Literature,PubMed,,
temperature,Weather,term birthweight,Negative,Gestational growth;Fetal growth,Health Outcome,,36279910,Literature,PubMed,,
temperature,Weather,term birthweight,Null,Gestational growth;Fetal growth,Health Outcome,,36279910,Literature,PubMed,,
temperature,Weather,small for gestational age,Null,Gestational growth;Fetal growth,Health Outcome,,36279910,Literature,PubMed,,
heat index,Weather,term birthweight,Null,Gestational growth;Fetal growth,Health Outcome,,36279910,Literature,PubMed,,
heat index,Weather,small for gestational age,Null,Gestational growth;Fetal growth,Health Outcome,,36279910,Literature,PubMed,,
temperature,Weather,COVID-19 incidence rate,Negative,Infectious Disease,Health Outcome,,36092863,Literature,PubMed,,
humidity,Weather,COVID-19 incidence rate,Negative,Infectious Disease,Health Outcome,,36092863,Literature,PubMed,,
temperature,Weather,COVID-19 incidence rate,Positive,Infectious Disease,Health Outcome,,36092863,Literature,PubMed,,
humidity,Weather,COVID-19 incidence rate,Negative,Infectious Disease,Health Outcome,,36092863,Literature,PubMed,,
temperature,Weather,COVID-19 incidence rate,Null,Infectious Disease,Health Outcome,,36092863,Literature,PubMed,,
humidity,Weather,COVID-19 incidence rate,Null,Infectious Disease,Health Outcome,,36092863,Literature,PubMed,,
air temperature,Weather,heat-associated mortalities,Positive,Mortality,Health Outcome,,36088401,Literature,PubMed,,
dew point temperature,Weather,heat-associated mortalities,Positive,Mortality,Health Outcome,,36088401,Literature,PubMed,,
PM2.5,Weather,heat-associated mortalities,Positive,Mortality,Health Outcome,,36088401,Literature,PubMed,,
temperature,Weather,influenza reports,Negative,Influenza-like illness,Health Outcome,,33722496,Literature,PubMed,,
PM2.5,Air Quality,Monthly age-adjusted mortality,Positive,Mortality,Health Outcome,,32126999,Literature,PubMed,,
diurnal temperature range,Weather,emergency department (ED) admissions,Positive,Morbidity and Mortality,Health Outcome,,31720855,Literature,PubMed,,
Heat waves defined by maximum apparent temperature at lag 0,Weather,ED visits for acute renal failure,Positive,Renal Health;Cardiovascular Health;Infectious Disease;General Health,Health Outcome,,28599264,Literature,PubMed,,
Heat waves defined by minimum temperature at lag 0,Weather,ED visits for ischemic stroke,Positive,Renal Health;Cardiovascular Health;Infectious Disease;General Health,Health Outcome,,28599264,Literature,PubMed,,
Heat waves defined by average temperature at lag 1,Weather,ED visits for intestinal infection,Positive,Renal Health;Cardiovascular Health;Infectious Disease;General Health,Health Outcome,,28599264,Literature,PubMed,,
Heat waves defined by maximum temperature at lag 1,Weather,ED visits for all internal causes,Positive,Renal Health;Cardiovascular Health;Infectious Disease;General Health,Health Outcome,,28599264,Literature,PubMed,,
relative humidity,Weather,monthly legionellosis rate,Positive,Infectious Diseases,Health Outcome,,26993637,Literature,PubMed,,
temperature,Weather,monthly legionellosis rate,Negative,Infectious Diseases,Health Outcome,,26993637,Literature,PubMed,,
relative humidity,Weather,legionellosis,Positive,Infectious Diseases,Health Outcome,,26993637,Literature,PubMed,,
